hau        [hau]        h au sp
hei        [hei]        h ei sp
hoe        [hoe]        h oe sp
hoihoi     [hoihoi]     h oi h oi sp
hou        [hou]        h ou sp
hë         [hë]         h e: sp
hï         [hï]         h i: sp
kei        [kei]        k ei sp
kë         [kë]         k e: sp
kï         [kï]         k i: sp
mao        [mao]        m ao sp
matiu      [matiu]      m a t i u sp
mau        [mau]        m au sp
moutere    [moutere]    m ou t e r e sp
mätao      [mätao]      m a: t ao sp
mätau      [mätau]      m a: t au sp
mätou      [mätou]      m a: t ou sp
pae        [pae]        p ae sp
pai        [pai]        p ai sp
pao        [pao]        p ao sp
pau        [pau]        p au sp
pou        [pou]        p ou sp
pö         [pö]         p o: sp
sil        [sil]        sil
silence    [silence]    sil
tae        [tae]        t ae sp
tai        [tai]        t ai sp
toetoe     [toitoi]     t oe t oe sp
toi        [toi]        t oi sp
täne       [täne]       t a: n e sp
tënei      [tënei]      t e: n ei sp
tü         [tü]         t u: sp
