teenei,01,self.01Sound[]
taane,02,self.02Sound[]
hau,03,self.03Sound[]
hou,04,self.04Sound[]
pao,05,self.05Sound[]
pau,06,self.06Sound[]
pou,07,self.07Sound[]
poo,08,self.08Sound[]
pai,09,self.09Sound[]
pae,10,self.10Sound[]
kee,11,self.11Sound[]
kei,12,self.12Sound[]
kii,13,self.13Sound[]
hee,14,self.14Sound[]
hei,15,self.15Sound[]
hii,16,self.16Sound[]
tae,17,self.17Sound[]
tai,18,self.18Sound[]
maatao,19,self.19Sound[]
maatau,20,self.20Sound[]
maatou,21,self.21Sound[]
toetoe,22,self.22Sound[]
toi,23,self.23Sound[]
hoihoi,24,self.24Sound[]
hoe,25,self.25Sound[]
mao,26,self.26Sound[]
mau,27,self.27Sound[]
moutere,28,self.28Sound[]
tuu,29,self.29Sound[]
matiu,30,self.30Sound[]
