SENT-END [] sil
SENT-START [] sil
hau        [hau]        h au
hei        [hei]        h ei
hoe        [hoe]        h oe
hoihoi     [hoihoi]     h oi h oi
hou        [hou]        h ou
kei        [kei]        k ei
mao        [mao]        m ao
matiu      [matiu]      m a t i u
mau        [mau]        m au
moutere    [moutere]    m ou t e r e
pae        [pae]        p ae
pai        [pai]        p ai
pao        [pao]        p ao
pau        [pau]        p au
pou        [pou]        p ou
sil        [sil]        sil
silence    [silence]    sil
tae        [tae]        t ae
tai        [tai]        t ai
toetoe     [toitoi]     t oe t oe
toi        [toi]        t oi


